Unicode,Count
U+3400,0
U+3401,0
U+3402,0
U+3403,0
U+3404,0
U+3405,0
U+3406,0
U+3407,0
U+3408,0
U+3409,0
U+340A,0
U+340B,0
U+340C,0
U+340D,0
U+340E,0
U+340F,0
U+3410,0
U+3411,0
U+3412,0
U+3413,0
U+3414,0
U+3415,0
U+3416,0
U+3417,0
U+3418,0
U+3419,0
U+341A,0
U+341B,0
U+341C,0
U+341D,0
U+341E,0
U+341F,0
U+3420,0
U+3421,0
U+3422,0
U+3423,0
U+3424,0
U+3425,0
U+3426,0
U+3427,0
U+3428,0
U+3429,0
U+342A,0
U+342B,0
U+342C,0
U+342D,0
U+342E,0
U+342F,0
U+3430,0
U+3431,0
U+3432,0
U+3433,0
U+3434,0
U+3435,0
U+3436,0
U+3437,0
U+3438,0
U+3439,0
U+343A,0
U+343B,0
U+343C,0
U+343D,0
U+343E,0
U+343F,0
U+3440,0
U+3441,0
U+3442,0
U+3443,0
U+3444,0
U+3445,0
U+3446,0
U+3447,0
U+3448,0
U+3449,0
U+344A,0
U+344B,0
U+344C,0
U+344D,0
U+344E,0
U+344F,0
U+3450,0
U+3451,0
U+3452,0
U+3453,0
U+3454,0
U+3455,0
U+3456,0
U+3457,0
U+3458,0
U+3459,0
U+345A,0
U+345B,0
U+345C,0
U+345D,0
U+345E,0
U+345F,0
U+3460,0
U+3461,0
U+3462,0
U+3463,0
U+3464,0
U+3465,0
U+3466,0
U+3467,0
U+3468,0
U+3469,0
U+346A,0
U+346B,0
U+346C,0
U+346D,0
U+346E,0
U+346F,0
U+3470,0
U+3471,0
U+3472,0
U+3473,0
U+3474,0
U+3475,0
U+3476,0
U+3477,0
U+3478,0
U+3479,0
U+347A,0
U+347B,0
U+347C,0
U+347D,0
U+347E,0
U+347F,0
U+3480,0
U+3481,0
U+3482,0
U+3483,0
U+3484,0
U+3485,0
U+3486,0
U+3487,0
U+3488,0
U+3489,0
U+348A,0
U+348B,0
U+348C,0
U+348D,0
U+348E,0
U+348F,0
U+3490,0
U+3491,0
U+3492,0
U+3493,0
U+3494,0
U+3495,0
U+3496,0
U+3497,0
U+3498,0
U+3499,0
U+349A,0
U+349B,0
U+349C,0
U+349D,0
U+349E,0
U+349F,0
U+34A0,0
U+34A1,0
U+34A2,0
U+34A3,0
U+34A4,0
